country year population sources consumption electricity
World 1965 3339584000 biofuel 0 0
World 1966 3407922944 biofuel 0 0
World 1967 3478769920 biofuel 0 0
World 1968 3551599104 biofuel 0 0
World 1969 3625680896 biofuel 0 0
World 1970 3700436992 biofuel 0 0
World 1971 3775759872 biofuel 0 0
World 1972 3851651072 biofuel 0 0
World 1973 3927781120 biofuel 0 0
World 1974 4003793920 biofuel 0 0
World 1975 4079480064 biofuel 0 0
World 1976 4154667008 biofuel 0 0
World 1977 4229506048 biofuel 0 0
World 1978 4304534016 biofuel 0 0
World 1979 4380506112 biofuel 0 0
World 1980 4458002944 biofuel 0 0
World 1981 4536996864 biofuel 0 0
World 1982 4617387008 biofuel 0 0
World 1983 4699569152 biofuel 0 0
World 1984 4784011776 biofuel 0 0
World 1985 4870922240 biofuel 0 0
World 1986 4960567808 biofuel 0 0
World 1987 5052521984 biofuel 0 0
World 1988 5145425920 biofuel 0 0
World 1989 5237441024 biofuel 0 0
World 1990 5327230976 biofuel 102.76 0
World 1991 5414288896 biofuel 108.63 0
World 1992 5498919936 biofuel 106.608 0
World 1993 5581598208 biofuel 111.162 0
World 1994 5663150080 biofuel 120.114 0
World 1995 5744212992 biofuel 126.441 0
World 1996 5824891904 biofuel 121.037 0
World 1997 5905046016 biofuel 126.272 0
World 1998 5984794112 biofuel 127.632 0
World 1999 6064239104 biofuel 129.306 0
World 2000 6143494144 biofuel 126.039 0
World 2001 6222626816 biofuel 125.74 0
World 2002 6301772800 biofuel 146.199 0
World 2003 6381185024 biofuel 164.938 0
World 2004 6461158912 biofuel 199.349 0
World 2005 6541906944 biofuel 238.388 0
World 2006 6623518208 biofuel 299.533 0
World 2007 6705947136 biofuel 394.209 0
World 2008 6789088768 biofuel 539.807 0
World 2009 6872766976 biofuel 618.649 0
World 2010 6956824064 biofuel 712.414 0
World 2011 7041193984 biofuel 745.152 0
World 2012 7125828096 biofuel 764.713 0
World 2013 7210582016 biofuel 817.131 0
World 2014 7295290880 biofuel 875.835 0
World 2015 7379796992 biofuel 907.399 0
World 2016 7464022016 biofuel 944.501 0
World 2017 7547858944 biofuel 972.009 0
World 2018 7631091200 biofuel 1040.053 0
World 2019 7713467904 biofuel 1101.949 0
World 1965 3339584000 coal 16140.191 0
World 1966 3407922944 coal 16324.107 0
World 1967 3478769920 coal 16060.823 0
World 1968 3551599104 coal 16301.16 0
World 1969 3625680896 coal 16798.749 0
World 1970 3700436992 coal 17058.622 0
World 1971 3775759872 coal 16965.973 0
World 1972 3851651072 coal 17154.346 0
World 1973 3927781120 coal 17667.864 0
World 1974 4003793920 coal 17682.065 0
World 1975 4079480064 coal 18024.552 0
World 1976 4154667008 coal 18688.5 0
World 1977 4229506048 coal 19241.309 0
World 1978 4304534016 coal 19457.913 0
World 1979 4380506112 coal 20363.547 0
World 1980 4458002944 coal 20857.619 0
World 1981 4536996864 coal 21149.69 0
World 1982 4617387008 coal 21384.44 0
World 1983 4699569152 coal 22045.022 0
World 1984 4784011776 coal 22999.527 0
World 1985 4870922240 coal 23986.182 3747.634
World 1986 4960567808 coal 24256.05 3838.27
World 1987 5052521984 coal 25210.286 4057.283
World 1988 5145425920 coal 25964.647 4199.198
World 1989 5237441024 coal 26213.476 4377.118
World 1990 5327230976 coal 25894.997 4460.397
World 1991 5414288896 coal 25642.774 4557.359
World 1992 5498919936 coal 25549.959 4650.556
World 1993 5581598208 coal 25675.129 4727.105
World 1994 5663150080 coal 25773.562 4892.752
World 1995 5744212992 coal 25954.363 5039.42
World 1996 5824891904 coal 26572.145 5279.991
World 1997 5905046016 coal 26526.834 5395.739
World 1998 5984794112 coal 26359.578 5507.309
World 1999 6064239104 coal 26521.914 5626.914
World 2000 6143494144 coal 27417.313 5989.372
World 2001 6222626816 coal 27852.504 6068.977
World 2002 6301772800 coal 28944.643 6319.812
World 2003 6381185024 coal 31496.509 6765.126
World 2004 6461158912 coal 33664.341 6985.995
World 2005 6541906944 coal 36170.786 7358.06
World 2006 6623518208 coal 38070.674 7760.151
World 2007 6705947136 coal 40223.624 8251.118
World 2008 6789088768 coal 40770.48 8266.006
World 2009 6872766976 coal 40148.633 8115.192
World 2010 6956824064 coal 41997.234 8634.042
World 2011 7041193984 coal 44018.078 9075.431
World 2012 7125828096 coal 44185.345 9111.015
World 2013 7210582016 coal 44993.467 9579.436
World 2014 7295290880 coal 44954.435 9755.201
World 2015 7379796992 coal 43844.173 9405.275
World 2016 7464022016 coal 43195.639 9441.981
